* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage, 10, 1, 1
2, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_knight, 10, 1, 1
3, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one, 10, 1, 1
4, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:spider, 80, 4, 4
5, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:zombie, 80, 4, 4
6, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:zombie_villager, 10, 1, 1
7, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:skeleton, 80, 4, 4
8, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:creeper, 80, 4, 4
9, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:slime, 80, 4, 4
10, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:witch, 5, 1, 1
11, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:drowned, 10, 1, 1
12, ocean, alexscaves:abyssal_chasm, MONSTER, alexsmobs:farseer, 30, 1, 1
13, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:baby_skeleton, 5, 1, 1
14, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
15, ocean, alexscaves:abyssal_chasm, MONSTER, quark:stoneling, 30, 1, 1
16, ocean, alexscaves:abyssal_chasm, MONSTER, quark:toretoise, 20, 2, 4
17, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
18, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:bonescaller, 5, 1, 1
19, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling, 10, 1, 1
20, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_angler, 10, 1, 1
21, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_brute, 10, 1, 1
22, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_priest, 10, 1, 1
23, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_warlock, 10, 1, 1
24, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:coral_golem, 10, 1, 1
25, ocean, alexscaves:abyssal_chasm, MONSTER, realmrpg_demons:chort, 10, 1, 2
26, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
27, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
28, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
29, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
30, ocean, alexscaves:abyssal_chasm, MONSTER, realmrpg_demons:demon, 10, 1, 3
31, ocean, alexscaves:abyssal_chasm, MONSTER, realmrpg_demons:demon_lord, 10, 1, 1
32, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
33, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
34, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
35, ocean, alexscaves:abyssal_chasm, MONSTER, realmrpg_wyrms:ender_wyrm, 10, 1, 1
36, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
37, ocean, alexscaves:abyssal_chasm, MONSTER, realmrpg_demons:imp, 10, 1, 3
38, ocean, alexscaves:abyssal_chasm, MONSTER, realmrpg_demons:imp_guard, 10, 1, 3
39, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:lifestealer, 5, 1, 1
40, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:missioner, 5, 1, 1
41, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
42, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:nightmare_stalker, 5, 1, 1
43, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
44, ocean, alexscaves:abyssal_chasm, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
45, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
46, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
47, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
48, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 5, 1, 1
49, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
50, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
51, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
52, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
53, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:spiritof_chaos, 5, 1, 1
54, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:supreme_bonescaller, 5, 1, 1
55, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
56, ocean, alexscaves:abyssal_chasm, MONSTER, enlightened_end:void_leviathan, 10, 1, 1
57, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
58, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
59, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
60, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
61, ocean, alexscaves:abyssal_chasm, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
62, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 80, 4, 6
63, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, alexscaves:hullbreaker, 20, 1, 1
64, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, seadwellers:mermorph_cavern, 10, 1, 1
65, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, minecraft:squid, 10, 1, 4
66, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
67, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
68, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
69, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:giant_squid, 10, 1, 2
70, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 1, 5
71, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 5, 1, 1
72, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexscaves:lanternfish, 80, 15, 20
73, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
74, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:comb_jelly, 10, 2, 3
75, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:tripodfish, 40, 1, 2
76, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:sea_pig, 50, 3, 4
77, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:gossamer_worm, 20, 1, 1
78, ocean, alexscaves:abyssal_chasm, rascals, friendsandfoes:rascal, 10, 1, 1
79, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:spider, 80, 4, 4
80, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:zombie, 80, 4, 4
81, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:zombie_villager, 10, 1, 1
82, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:skeleton, 80, 4, 4
83, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:creeper, 80, 4, 4
84, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:slime, 80, 4, 4
85, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:enderman, 5, 1, 4
86, none, biomeswevegone:allium_shrubland, MONSTER, minecraft:witch, 5, 1, 1
87, none, biomeswevegone:allium_shrubland, MONSTER, alexsmobs:centipede_head, 10, 1, 1
88, none, biomeswevegone:allium_shrubland, MONSTER, alexsmobs:farseer, 30, 1, 1
89, none, biomeswevegone:allium_shrubland, MONSTER, alexsmobs:murmur, 10, 1, 1
90, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:baby_skeleton, 5, 1, 1
91, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
92, none, biomeswevegone:allium_shrubland, MONSTER, quark:stoneling, 30, 1, 1
93, none, biomeswevegone:allium_shrubland, MONSTER, quark:toretoise, 20, 2, 4
94, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:bloody_gadfly, 16, 1, 1
95, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:bonescaller, 5, 1, 1
96, none, biomeswevegone:allium_shrubland, MONSTER, realmrpg_demons:chort, 10, 1, 2
97, none, biomeswevegone:allium_shrubland, MONSTER, scguns:cog_knight, 25, 1, 1
98, none, biomeswevegone:allium_shrubland, MONSTER, scguns:cog_minion, 0, 0, 0
99, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:corpse_fly, 15, 1, 3
100, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
101, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:decaying_zombie, 35, 1, 1
102, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:decrepit_skeleton, 45, 1, 1
103, none, biomeswevegone:allium_shrubland, MONSTER, realmrpg_demons:demon, 10, 1, 3
104, none, biomeswevegone:allium_shrubland, MONSTER, realmrpg_demons:demon_lord, 10, 1, 1
105, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
106, none, biomeswevegone:allium_shrubland, MONSTER, scguns:dissident, 20, 1, 1
107, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
108, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
109, none, biomeswevegone:allium_shrubland, MONSTER, realmrpg_wyrms:ender_wyrm, 10, 1, 1
110, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
111, none, biomeswevegone:allium_shrubland, MONSTER, scguns:hive, 15, 1, 1
112, none, biomeswevegone:allium_shrubland, MONSTER, realmrpg_demons:imp, 10, 1, 3
113, none, biomeswevegone:allium_shrubland, MONSTER, realmrpg_demons:imp_guard, 10, 1, 3
114, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:lifestealer, 5, 1, 1
115, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:missioner, 5, 1, 1
116, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
117, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:nightmare_stalker, 5, 1, 1
118, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
119, none, biomeswevegone:allium_shrubland, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
120, none, biomeswevegone:allium_shrubland, MONSTER, scguns:redcoat, 20, 1, 1
121, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
122, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
123, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
124, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 5, 1, 1
125, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
126, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
127, none, biomeswevegone:allium_shrubland, MONSTER, scguns:sky_carrier, 30, 1, 1
128, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
129, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
130, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:spiritof_chaos, 5, 1, 1
131, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:supreme_bonescaller, 5, 1, 1
132, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
133, none, biomeswevegone:allium_shrubland, MONSTER, enlightened_end:void_leviathan, 10, 1, 1
134, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
135, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
136, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
137, none, biomeswevegone:allium_shrubland, MONSTER, born_in_chaos_v1:zombie_lumberjack, 20, 1, 1
138, none, biomeswevegone:allium_shrubland, CREATURE, minecraft:sheep, 12, 4, 4
139, none, biomeswevegone:allium_shrubland, CREATURE, minecraft:pig, 10, 4, 4
140, none, biomeswevegone:allium_shrubland, CREATURE, minecraft:chicken, 10, 4, 4
141, none, biomeswevegone:allium_shrubland, CREATURE, minecraft:cow, 10, 4, 4
142, none, biomeswevegone:allium_shrubland, CREATURE, minecraft:horse, 10, 2, 6
143, none, biomeswevegone:allium_shrubland, CREATURE, minecraft:donkey, 10, 1, 3
144, none, biomeswevegone:allium_shrubland, CREATURE, naturalist:snail, 10, 2, 3
145, none, biomeswevegone:allium_shrubland, CREATURE, naturalist:snake, 10, 1, 1
146, none, biomeswevegone:allium_shrubland, CREATURE, naturalist:robin, 10, 1, 4
